"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1918","test_get_all_notes_api","tests","2026-05-06","passed","2026-05-06","","test_get_all_notes","",""
"","29348","test_invalid_login","tests","2026-05-06","passed","2026-05-06","","test_invalid_login","",""
"","14817","test_api_to_ui","tests","2026-05-06","passed","2026-05-06","","test_api_to_ui","",""
"","2937","test_get_notes_api","tests","2026-05-06","passed","2026-05-06","","test_notes_api","",""
"","2286","test_notes_api_performance","tests","2026-05-06","passed","2026-05-06","","test_performance","",""
"","9250","test_ui_login_performance","tests","2026-05-06","passed","2026-05-06","","test_performance","",""
"","11290","test_create_note_ui","tests","2026-05-06","passed","2026-05-06","","test_notes_ui","",""
"","17744","test_delete_note_by_title_ui","tests","2026-05-06","passed","2026-05-06","","test_delete_note","",""
"","12509","test_ui_to_api","tests","2026-05-06","passed","2026-05-06","","test_ui_to_api","",""
"","9475","test_login","tests","2026-05-06","passed","2026-05-06","","test_login","",""
"","10712","test_empty_note_validation","tests","2026-05-06","passed","2026-05-06","","test_empty_note","",""
"","10407","test_delete_note_ui","tests","2026-05-06","passed","2026-05-06","","test_delete_note","",""
