| Title | Description | Category | Completed | Created At |
|-------|-------------|----------|-----------|------------|
| E2E Title | E2E Desc | Home | No | 2026-05-08T04:33:35.975Z |
| UI Test | UI Description | Home | No | 2026-05-08T04:33:08.066Z |
| AI Generated Note MRGU | Generated dynamically using MCP framework | Home | No | 2026-05-08T04:32:38.077Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T04:27:53.274Z |
| UI Test | UI Description | Home | No | 2026-05-08T04:27:39.471Z |
| AI Generated Note QYQN | Generated dynamically using MCP framework | Home | No | 2026-05-08T04:27:14.201Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T04:05:03.779Z |
| UI Test | UI Description | Home | No | 2026-05-08T04:04:34.606Z |
| AI Generated Note MRNO | Generated dynamically using MCP framework | Home | No | 2026-05-08T04:03:56.727Z |
| AI Generated Note QBIM | Generated dynamically using MCP framework | Home | No | 2026-05-08T03:53:15.013Z |
| AI Generated Note LLEO | Generated dynamically using MCP framework | Home | No | 2026-05-08T00:45:13.946Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T00:43:19.361Z |
| UI Test | UI Description | Home | No | 2026-05-08T00:42:47.858Z |
| AI Generated Note JRUW | Generated dynamically using MCP framework | Home | No | 2026-05-08T00:42:12.529Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T00:36:51.811Z |
| UI Test | UI Description | Home | No | 2026-05-08T00:36:24.317Z |
| AI Generated Note NQKM | Generated dynamically using MCP framework | Home | No | 2026-05-08T00:35:50.240Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T00:33:05.048Z |
| E2E Title | E2E Desc | Home | No | 2026-05-08T00:33:03.456Z |
| UI Test | UI Description | Home | No | 2026-05-08T00:32:28.786Z |
| UI Test | UI Description | Home | No | 2026-05-08T00:31:54.649Z |
| AI Generated Note LJJM | Generated dynamically using MCP framework | Home | No | 2026-05-08T00:31:39.043Z |
| AI Generated Note BFBY | Generated dynamically using MCP framework | Home | No | 2026-05-08T00:31:09.552Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T21:05:08.373Z |
| UI Test | UI Description | Home | No | 2026-05-07T21:04:45.256Z |
| AI Generated Note KFBA | Generated dynamically using MCP framework | Home | No | 2026-05-07T21:04:16.359Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T21:02:00.890Z |
| UI Test | UI Description | Home | No | 2026-05-07T21:01:33.437Z |
| AI Generated Note NBYW | Generated dynamically using MCP framework | Home | No | 2026-05-07T21:01:06.369Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:40:58.614Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:40:30.777Z |
| AI Generated Note YVTO | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:40:01.937Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:37:49.955Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:37:37.534Z |
| API E2E 1778186069 | Created through API | Home | No | 2026-05-07T20:34:29.526Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:29:48.706Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:29:37.562Z |
| AI Generated Note DJFD | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:28:31.540Z |
| API E2E 1778185626 | Created through API | Home | No | 2026-05-07T20:27:06.786Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:24:53.699Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:24:23.692Z |
| AI Generated Note BXSS | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:23:12.437Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:20:11.542Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:19:42.680Z |
| AI Generated Note DJNA | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:19:11.966Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:16:13.267Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T20:15:53.038Z |
| AI Generated Note WUVX | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:14:21.024Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:12:59.751Z |
| AI Generated Note HBPG | Generated dynamically using MCP framework | Home | No | 2026-05-07T20:12:31.374Z |
| UI Test | UI Description | Home | No | 2026-05-07T20:08:30.493Z |
| API E2E 1778184352 | Created through API | Home | No | 2026-05-07T20:05:52.366Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:41:08.271Z |
| AI Generated Note QIHM | Generated dynamically using MCP framework | Home | No | 2026-05-07T19:40:23.371Z |
| API E2E 1778182790 | Created through API | Home | No | 2026-05-07T19:39:50.366Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T19:39:19.108Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:38:54.002Z |
| AI Generated Note FPKI | Generated dynamically using MCP framework | Home | No | 2026-05-07T19:38:23.483Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:32:47.365Z |
| AI Generated Note JOVZ | Generated dynamically using MCP framework | Home | No | 2026-05-07T19:32:15.604Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T19:29:11.485Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:28:44.633Z |
| AI Generated Note IDLD | Generated dynamically using MCP framework | Home | No | 2026-05-07T19:28:14.768Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T19:10:24.558Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:09:56.032Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T19:06:59.230Z |
| UI Test | UI Description | Home | No | 2026-05-07T19:06:20.007Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T18:59:14.191Z |
| UI Test | UI Description | Home | No | 2026-05-07T18:58:33.638Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T18:55:26.670Z |
| UI Test | UI Description | Home | No | 2026-05-07T18:54:47.314Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T18:39:31.102Z |
| UI Test | UI Description | Home | No | 2026-05-07T18:38:57.237Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T18:35:50.797Z |
| UI Test | UI Description | Home | No | 2026-05-07T18:35:18.796Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:40:19.620Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:39:58.849Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:36:58.429Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:36:18.225Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:30:35.187Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:30:03.890Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:16:55.475Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:13:57.873Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:12:53.152Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:08:38.912Z |
| UI Test | UI Description | Home | No | 2026-05-07T17:07:41.394Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T17:02:27.472Z |
| API E2E 1778173041 | Created through API | Home | No | 2026-05-07T16:57:22.190Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T16:56:58.834Z |
| UI Test | UI Description | Home | No | 2026-05-07T16:56:13.955Z |
| API E2E 1778172683 | Created through API | Home | No | 2026-05-07T16:51:29.872Z |
| API E2E 1778172229 | Created through API | Home | No | 2026-05-07T16:44:06.593Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T16:42:46.674Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T16:18:21.885Z |
| UI Test | UI Description | Home | No | 2026-05-07T16:09:17.226Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T15:57:59.354Z |
| UI Test | UI Description | Home | No | 2026-05-07T15:54:13.721Z |
| API E2E 1778169022 | Created through API | Home | No | 2026-05-07T15:50:29.160Z |
| API E2E 1778168851 | Created through API | Home | No | 2026-05-07T15:47:35.709Z |
| API E2E 1778168253 | Created through API | Home | No | 2026-05-07T15:37:35.790Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T15:35:53.550Z |
| UI Test | UI Description | Home | No | 2026-05-07T15:34:37.950Z |
| API E2E 1778167046 | Created through API | Home | No | 2026-05-07T15:17:26.340Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T09:06:40.594Z |
| UI Test | UI Description | Home | No | 2026-05-07T09:05:48.590Z |
| API E2E 1778144591 | Created through API | Home | No | 2026-05-07T09:03:12.350Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T09:02:07.474Z |
| UI Test | UI Description | Home | No | 2026-05-07T09:01:56.990Z |
| API E2E 1778144308 | Created through API | Home | No | 2026-05-07T08:58:31.074Z |
| UI Test | UI Description | Home | No | 2026-05-07T08:56:26.829Z |
| API E2E 1778144056 | Created through API | Home | No | 2026-05-07T08:54:18.191Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T08:45:27.476Z |
| API E2E 1778143348 | Created through API | Home | No | 2026-05-07T08:42:30.918Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T08:15:01.310Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T07:44:11.478Z |
| UI Test | UI Description | Home | No | 2026-05-07T07:43:47.004Z |
| E2E Title | E2E Desc | Home | No | 2026-05-07T07:33:25.610Z |
| UI Test | UI Description | Home | No | 2026-05-07T07:32:27.879Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-07T05:15:44.962Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-07T05:15:19.779Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:25:25.994Z |
| API E2E 1778088271 | Created through API | Home | No | 2026-05-06T17:24:31.616Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:24:03.556Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T17:23:49.730Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:21:18.782Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T17:20:39.060Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:17:59.919Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T17:17:14.712Z |
| API E2E 1778087682 | Created through API | Home | No | 2026-05-06T17:14:43.294Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:07:20.265Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T17:06:55.573Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T17:04:54.681Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T17:03:21.018Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T16:54:00.677Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T16:53:12.626Z |
| API E2E 1778085149 | Created through API | Home | No | 2026-05-06T16:32:32.703Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T16:22:59.444Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T16:22:12.003Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T16:16:42.838Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T16:14:46.109Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T16:10:42.417Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T16:10:15.993Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T16:06:05.239Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T16:04:49.724Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T15:55:49.216Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T15:54:57.899Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T15:50:57.145Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T15:50:32.489Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T15:47:52.674Z |
| UI Validation Note | Verifying note creation functionality | Home | No | 2026-05-06T15:47:18.426Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T15:41:11.605Z |
| UI Test | UI Description | Home | No | 2026-05-06T15:40:45.987Z |
| E2E Validation Note | E2E Verifying end-to-end functionality | Home | No | 2026-05-06T15:37:31.703Z |
| UI Test | UI Description | Home | No | 2026-05-06T15:37:08.300Z |
| E2E Title | E2E Desc | Home | No | 2026-05-06T15:25:58.532Z |
| UI Test | UI Description | Home | No | 2026-05-06T15:25:25.659Z |
| E2E Title | E2E Desc | Home | No | 2026-05-06T15:21:46.236Z |
| UI Test | UI Description | Home | No | 2026-05-06T15:20:15.346Z |
| Calling to parents | Everyday calling to parents at 8:00PM | Personal | Yes | 2026-05-05T17:39:12.643Z |
| Project work | Completing manual testing part from the project of section1 and API automation from section 2. | Work | Yes | 2026-05-05T17:58:50.716Z |
| Reading Story books | I want to start reading story books regularly. Even if it’s just a little every day, it will help me relax and enjoy some time. I will try to make it a daily habit, especially in the evening or before going to sleep. | Personal | No | 2026-05-05T17:54:28.071Z |
| Grocery Shopping | Going to DMART to buy grocery items like vegetables, fruits, utensils etc... Need to go grocery shopping for this week. I should buy basics like milk, bread, and eggs, and also checking the prices of rice bags or cooking oil. I will pick fresh vegetables like tomatoes, onions, and potatoes, and maybe a few fruits like bananas and apples. Also need to see if we need things like sugar, salt, or any spices. Try to choose good quality items and not overspend. Don’t forget to carry bags and double-check everything before leaving the store. | Home | No | 2026-05-05T17:24:56.762Z |
| House cleaning | Kitchen cleaning, Bedroom cleaning, Organizing tables | Home | Yes | 2026-05-05T17:05:35.380Z |
| Gardening | Cutting waste plants, Watering the plants | Home | No | 2026-05-05T17:27:11.003Z |
